0.08001,291,314,320,325,329,335,338,341,344,349,350,350,349,350,348,349,350,349,349,348,350,348,350,352,349,351,350,350,350,351,351,351,354,352,353,353,353,353,352,353,353,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,353,352,353,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,352,353,353,353,352,352,352,352,352,352,352,352,352,352,352,352
0.12001,214,289,319,327,336,340,348,355,352,361,358,362,364,360,364,361,360,365,368,368,365,368,367,365,370,368,369,369,368,369,369,369,366,368,367,368,367,366,367,367,367,368,369,368,367,368,367,367,368,367,367,368,368,369,369,369,369,369,368,368,368,369,369,369,369,369,369,369,369,369,369,369,369,369,369,370,370,370,370,369,369,369,369,370,370,369,369,369,370,369,369,369,369,369,369,369,369,369,369,369
0.16001,164,235,265,277,298,317,324,330,333,335,346,343,349,355,355,358,361,360,353,355,356,357,358,358,359,358,359,357,359,357,357,358,359,357,358,359,358,361,362,360,359,360,358,359,361,360,360,361,360,359,360,357,358,358,358,358,359,359,358,358,358,357,358,358,358,358,359,359,358,358,358,358,357,358,358,357,357,357,357,358,358,358,358,357,357,357,357,357,357,358,357,358,357,357,357,358,357,357,357,357
0.20001,85,148,186,207,225,251,273,287,301,305,308,318,321,329,331,329,331,335,339,335,337,336,334,333,331,331,332,335,335,334,336,337,335,339,336,336,338,335,334,335,337,336,338,336,335,336,338,336,336,339,338,340,337,336,337,337,336,336,337,337,337,338,336,337,337,337,336,337,338,338,337,337,338,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,338,338,338,338,339,338,339,338,339,339,339,338
0.24001,74,175,227,248,269,289,301,320,330,335,342,353,359,358,361,367,372,372,377,382,382,385,385,388,386,388,389,387,392,393,392,390,391,392,392,389,389,390,391,393,390,390,390,391,392,391,390,391,392,390,391,390,392,392,390,391,392,391,391,391,390,390,391,390,391,391,391,391,390,390,391,391,391,391,390,390,390,390,390,390,390,390,390,390,390,391,391,391,391,390,392,391,391,392,391,390,390,390,390,392
0.28001,55,122,171,209,241,259,282,297,306,327,337,345,351,356,361,364,366,367,370,375,377,375,376,377,382,382,385,387,384,383,384,385,386,384,386,387,387,388,388,386,387,387,386,387,385,386,385,386,385,386,385,386,387,386,387,387,386,387,386,386,388,388,387,386,386,386,386,385,386,386,386,386,386,385,386,386,386,387,386,385,385,385,386,387,387,386,385,386,385,386,385,385,385,385,385,386,386,386,386,385
0.32001,22,56,84,115,134,154,163,174,182,193,199,204,212,215,219,226,226,225,228,229,230,234,234,234,234,236,236,235,236,238,237,237,236,236,236,237,237,237,236,236,237,237,237,237,238,237,238,237,236,236,236,236,237,238,238,237,237,237,238,238,237,237,238,239,238,238,238,238,238,237,237,237,237,238,238,238,238,237,239,239,239,239,238,237,237,237,238,237,237,237,237,237,237,237,237,238,237,237,237,237
0.36001,11,32,57,77,99,112,124,127,136,147,159,165,169,173,175,180,183,185,184,184,187,189,190,190,191,191,191,191,194,194,194,195,195,195,195,195,195,195,196,196,197,197,197,197,197,198,198,198,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,200,200,200,200,200,200,200,200,200,199,200,200,200,199,200,199,199,199,200,200,200,200,200,200,200,200,199,200,199,199,199
0.40001,8,28,56,72,88,100,113,126,143,150,154,158,159,164,167,168,169,171,172,172,176,176,176,177,177,178,179,179,178,178,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,180,179,180,180,180,179,179,179,179,179,179,179,179,179,179,180,180,179
0.44001,0,10,32,52,63,81,91,97,106,112,118,123,125,126,127,128,129,130,131,132,132,132,134,136,137,136,136,137,139,139,139,139,138,140,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,140
